PLACE_ID;CODE;NAME;TYPE_ID;IS_PARKING;IS_TEST;ST_CODE;ST_NAME;ST_NAME_SHORT;LN_CODE;LN_NAME;LN_NAME_SHORT
643;5352;5352;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
1545;5361;Шелепиха МЦК;1;0;0;1699;Шелепиха МЦК;Шелепиха МЦК;1698;МЦК;МЦК
644;5369;5369;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
645;5370;5370;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
38938;5371;Крымская МЦК;1;0;0;1726;Крымская МЦК;Крымская МЦК;1698;МЦК;МЦК
646;5371;5371;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
1533;5381;Нижегородская МЦК;1;0;0;1727;Нижегородская МЦК;Нижегородск. МЦК;1698;МЦК;МЦК
38960;5382;Нижегородская 2 МЦК;1;0;0;1727;Нижегородская МЦК;Нижегородск. МЦК;1698;МЦК;МЦК
1537;5391;Площадь Гагарина 1 МЦК;1;0;0;1732;Площадь Гагарина МЦК;Пл. Гагарина МЦК;1698;МЦК;МЦК
1538;5392;Площадь Гагарина 2 МЦК;1;0;0;1732;Площадь Гагарина МЦК;Пл. Гагарина МЦК;1698;МЦК;МЦК
1539;5393;Площадь Гагарина 3 МЦК;1;0;0;1732;Площадь Гагарина МЦК;Пл. Гагарина МЦК;1698;МЦК;МЦК
1532;5401;Лужники МЦК;1;0;0;1728;Лужники МЦК;Лужники МЦК;1698;МЦК;МЦК
1529;5411;Кутузовская МЦК;1;0;0;1729;Кутузовская МЦК;Кутузовская МЦК;1698;МЦК;МЦК
40393;5412;Кутузовская МЦК пересадка с МЦД4;1;0;0;1729;Кутузовская МЦК;Кутузовская МЦК;1698;МЦК;МЦК
647;5414;5414;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
648;5415;5415;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
649;5416;5416;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
650;5417;5417;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
651;5418;5418;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
652;5419;5419;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
653;5420;5420;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
38925;5421;Москва-Сити МЦК;1;0;0;1730;Москва-Сити МЦК;Москва-Сити МЦК;1698;МЦК;МЦК
654;5421;5421;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
655;5422;5422;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
656;5423;5423;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
657;5424;5424;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
658;5425;5425;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
659;5426;5426;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
660;5427;5427;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
661;5428;5428;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
662;5429;5429;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
663;5430;5430;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
664;5431;5431;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
665;5432;5432;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
666;5433;5433;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
1330;5471;Деловой центр БКЛ (Первый);1;0;0;1751;Деловой центр БКЛ;Деловой центр БКЛ;1749;Большая кольцевая линия;БКЛ
1331;5472;Деловой центр БКЛ (Второй);1;0;0;1751;Деловой центр БКЛ;Деловой центр БКЛ;1749;Большая кольцевая линия;БКЛ
1340;5481;Шелепиха (Первый);1;0;0;1753;Шелепиха;Шелепиха;1749;Большая кольцевая линия;БКЛ
1341;5482;Шелепиха (Второй);1;0;0;1753;Шелепиха;Шелепиха;1749;Большая кольцевая линия;БКЛ
1336;5491;Хорошёвская (Первый);1;0;0;1754;Хорошёвская;Хорошёвская;1749;Большая кольцевая линия;БКЛ
1337;5492;Хорошёвская (Второй);1;0;0;1754;Хорошёвская;Хорошёвская;1749;Большая кольцевая линия;БКЛ
40758;5493;Полежаевская (Второй) кассы;1;0;0;1754;Хорошёвская;Хорошёвская;1749;Большая кольцевая линия;БКЛ
40759;5494;Полежаевская (Первый) кассы;1;0;0;1754;Хорошёвская;Хорошёвская;1749;Большая кольцевая линия;БКЛ
667;5494;5494;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
